states,Area,fullvaccination,BCG,3dosespolio,DPT,Meseales,HepB,VitA,vaccinepublic4,vaccineprivate4
Andaman & Nicobar Islands,Total,73.2,87.4,83.9,83.5,76.4,83.1,69.3,94.4,5.6
Andhra Pradesh,Total,65.3,97.3,72.3,89,89.4,68.8,72.1,91.6,8.4
Arunachal Pradesh,Total,38.2,70.9,53.7,52.3,54.6,40.9,39.4,93.9,5.5
Assam,Total,47.1,82.3,56,66.5,71.4,52,51.3,93.3,5.3
Bihar,Total,61.7,91.7,72.9,80.2,79.4,65.5,62.3,95.5,3.9
Chandigarh,Total,79.5,95.9,79.5,95.9,95.9,82.7,56.3,93.1,6.9
Chattisgarh,Total,76.4,98.4,81.7,91.4,93.9,76.4,70.2,96.4,3.6
Dadra and Nagar Haveli & Daman and Diu,Total,54.75,86.6,66.25,73.65,80.4,56.35,63.85,81.2,18.85
Goa,Total,88.4,100,92.9,94.2,96.5,85.2,89.5,77.2,22.8
Gujarat,Total,50.4,87.9,62.3,72.7,75,38.6,71.2,87.1,12.6
Haryana,Total,62.2,92.8,75.3,76.5,79,54.3,66.7,94.8,5.1
Himachal Pradesh,Total,69.5,94.8,82.4,85,87.5,74.1,64.3,97.9,1.9
Jammu & Kashmir,Total,75.1,95.6,83.8,88.1,86.2,70.3,64.7,97.5,2.1
Jharkhand,Total,61.9,95.8,73.8,82.4,82.6,56.4,52.9,95.3,4.6
Karnataka,Total,62.6,92.5,74.6,77.9,82.4,58.9,78.7,88.2,11.4
Kerala,Total,82.1,98.1,88.5,90.4,89.4,82.4,74.4,77.6,22.4
Lakshadweep,Total,86.9,100,90.5,94.2,92.5,86.7,52.3,100,0
Madhya Pradesh,Total,53.6,91.6,63.6,73.4,79.6,56.3,60.4,95.7,3.7
Maharashtra,Total,56.3,90,67,74.9,82.8,60.8,70.5,86.2,13.6
Manipur,Total,65.9,91.2,76.6,77.8,74.2,69.9,32.1,92.9,6.1
Meghalaya,Total,61.5,86,71,74,71.9,62.9,54.4,92.4,4.9
Mizoram,Total,50.5,75.3,61.7,61.7,61.1,56.8,68.6,92.2,7.2
Nagaland,Total,35.7,68.4,52.5,52,50.4,45.8,27.1,91.7,7.8
NCT of Delhi,Total,66.4,94.7,77.4,83.7,90.5,59.8,54.2,92.3,7.4
Odisha,Total,78.6,94.1,82.8,89.2,87.9,83.2,69.1,98.3,1
Puducherry,Total,91.3,99.9,95.4,96,95.4,89.4,75,89.7,10.3
Punjab,Total,89.1,98.2,93.7,94.5,93.1,91,70.6,89,11
Rajasthan,Total,54.8,88.8,65.4,71.6,78.1,53.1,39.6,94.4,4.4
Sikkim,Total,83,98.9,87.7,93,93.3,84.1,84.3,94.1,5.9
Tamil Nadu,Total,69.7,94.9,82.3,84.5,85.1,68.2,68.3,86.1,14
Telangana,Total,68.1,97.4,75.4,87.9,90.6,70.6,76.3,83.7,16.1
Tripura,Total,54.5,82.4,70.1,71.1,69.7,54.4,62.8,97.4,2
Uttar Pradesh,Total,51.1,87.6,68.3,66.5,70.8,52.8,39.5,84.5,5.1
Uttarakhand,Total,57.7,92.9,68,80,80.6,59.4,36.9,91,6.3
West Bengal,Total,84.4,97.5,87.9,92.7,92.8,86.4,68.4,96.6,3.2
