states,Area,fullvaccinated,BCG,3polio,DPT,1MCV,3doserotavirus,hepb,vita,vaccinepublic,vaccineprivate,vaccinetotal
Andaman & Nicobar Islands,Total,77.8,98.2,80.9,92.6,82.1,0.3,85.4,86,94.9,3.2,98.1
Andhra Pradesh,Total,73,94.6,75,88.4,87.1,75.5,85.3,80.3,94.2,4.3,98.5
Arunachal Pradesh,Total,64.9,87.9,69,77.7,80.7,32,73,69.7,97.6,0.7,98.3
Assam,Total,66.4,92.5,73.4,81.7,82.8,45.4,75.1,58.2,95.6,2.3,97.9
Bihar,Total,71,95.5,75.5,85,85.7,3.4,82.3,56,96.6,2.2,98.8
Chandigarh,Total,80.9,96.8,80.9,87.9,87.9,-84.9,-84.9,72.6,92.9,7.1,100
Chhattisgarh,Total,79.7,96.4,84.2,87.5,90.2,50.4,86,84.5,96.6,3.1,99.7
Dadra and Nagar Haveli & Daman and Diu,Total,94.9,98.1,96.1,97.2,96.2,3.7,93.1,86.2,97.3,2.7,100
Goa,Total,81.9,97.9,88.4,90.8,92.9,6.3,92.8,91.9,92.7,7.3,100
Gujarat,Total,76.3,94.7,79.6,86.1,86.8,2.2,84.9,85.6,92.1,7.6,99.7
Haryana,Total,76.9,95,80.6,88.5,89.4,79.8,87.4,64.9,96.9,2.4,99.3
Himachal Pradesh,Total,89.3,98.2,90.1,96.1,95.9,87.9,96.3,77.3,97.5,1.8,99.3
Jammu & Kashmir,Total,86.2,95.1,87.6,92.8,91.7,5.3,91.4,82.3,99.1,0.4,99.5
Jharkhand,Total,73.9,95,76.8,85.6,86.7,74.6,84.4,70.9,96.5,2.9,99.4
Karnataka,Total,84.1,97.2,87.6,92.1,91.2,5.9,88.8,86.2,91.7,7.9,99.6
Kerala,Total,77.8,97.6,84.1,85.2,88.3,9.5,83,84.1,87.3,12.3,99.6
Lakshadweep,Total,-86.1,-94.2,-86.1,-91,-91,-12.7,-88.9,44.8,100,0,100
Madhya Pradesh,Total,77.1,95.4,81.4,87.4,88,70.9,85,78.1,98.4,1.2,99.6
Maharastra,Total,73.5,93.8,79,83.4,84.7,8.2,75.6,72.2,89.5,10,99.5
Manipur,Total,68.8,95.4,75.6,81.4,76.6,6.8,80,44.9,92.3,5.6,97.9
Meghalaya,Total,63.8,89.3,68.5,73.1,72.5,4.1,65.7,61,93.6,3.5,97.1
Mizoram,Total,72.5,83.4,76.2,80.7,80.9,7.2,76.4,65.7,96.9,2.4,99.3
Nagaland,Total,57.9,85.5,65.4,71.5,73.8,6.5,66.4,45.6,93.2,4.1,97.3
NCT of Delhi,Total,76,96.8,80.2,85,90.1,26.6,81.9,52.9,88.7,11.1,99.8
Odisha,Total,90.5,97.3,91.7,94.7,95.9,88.1,94.4,87.1,98.1,1.4,99.5
Puducherry,Total,82,96.4,87.3,92,95.6,8,88.8,81.2,97.1,2.6,99.7
Punjab,Total,76.2,95.3,79.7,88.5,88.1,65.9,85.4,69.9,90.6,8,98.6
Rajasthan,Total,80.4,95.6,84.6,89.3,91.2,61.6,88.2,64.5,98,1.6,99.6
Sikkim,Total,80.6,96.6,89,91.4,90.5,0,89.1,87.5,100,0,100
Tamil Nadu,Total,89.2,97.6,91.5,94.8,95.8,66.4,92.3,68.2,89.8,10.1,99.9
Telangana,Total,79.1,93.5,81.6,89.2,90.6,5.3,86.4,72.4,94.1,4.5,98.6
Tripura,Total,69.5,94.7,73.4,85.9,86.3,59.6,82.5,70.4,97.3,1.4,98.7
Uttar Pradesh,Total,69.6,93.2,74.3,80.8,83.3,49.1,78.3,73.9,94.4,2.2,96.6
Uttarakhand,Total,80.8,95.2,84,89.7,90.6,32.3,86.6,53.7,95.3,3,98.3
West Bengal,Total,87.8,98.6,90.8,95,94.4,1.8,92,68.4,96.3,2.5,98.8
