states,vaccinepublic,vaccine_public,vaccineprivate,vaccine_private
Andaman & Nicobar Islands,94.9,2.772340861,3.2,2.231520223
Andhra Pradesh,94.2,2.75189156,4.3,2.9986053
Arunachal Pradesh,97.6,2.851216733,0.7,0.488145049
Assam,95.6,2.792790161,2.3,1.60390516
Bihar,96.6,2.822003447,2.2,1.534170153
Chandigarh,92.9,2.713914288,7.1,4.951185495
Chhattisgarh,96.6,2.822003447,3.1,2.161785216
Dadra and Nagar Haveli & Daman and Diu,97.3,2.842452748,2.7,1.882845188
Goa,92.7,2.708071631,7.3,5.090655509
Gujarat,92.1,2.690543659,7.6,5.29986053
Haryana,96.9,2.830767433,2.4,1.673640167
Himachal Pradesh,97.5,2.848295405,1.8,1.255230126
Jammu & Kashmir,99.1,2.895036663,0.4,0.278940028
Jharkhand,96.5,2.819082119,2.9,2.022315202
Karnataka,91.7,2.678858345,7.9,5.509065551
Kerala,87.3,2.550319885,12.3,8.577405858
Ladakh,100,2.92132862,0,0
Lakshadweep,100,2.92132862,0,0
Madhya Pradesh,98.4,2.874587362,1.2,0.836820084
Maharastra,89.5,2.614589115,10,6.973500697
Manipur,92.3,2.696386316,5.6,3.905160391
Meghalaya,93.6,2.734363589,3.5,2.440725244
Mizoram,96.9,2.830767433,2.4,1.673640167
Nagaland,93.2,2.722678274,4.1,2.859135286
NCT of Delhi,88.7,2.591218486,11.1,7.740585774
Odisha,98.1,2.865823376,1.4,0.976290098
Puducherry,97.1,2.83661009,2.6,1.813110181
Punjab,90.6,2.64672373,8,5.578800558
Rajasthan,98,2.862902048,1.6,1.115760112
Sikkim,100,2.92132862,0,0
Tamil Nadu,89.8,2.623353101,10.1,7.043235704
Telangana,94.1,2.748970232,4.5,3.138075314
Tripura,97.3,2.842452748,1.4,0.976290098
Uttar Pradesh,94.4,2.757734218,2.2,1.534170153
Uttarakhand,95.3,2.784026175,3,2.092050209
West Bengal,96.3,2.813239461,2.5,1.743375174
,3423.1,100,143.4,100
